DeviceTag: 5(right),FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2025-07-23 20:35:06.006,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
287006,0.0995,-0.0080,-0.0078,0.9950,-0.0096,-0.0241,0.0037,0
287173,0.0995,-0.0080,-0.0078,0.9950,-0.0003,-0.0110,0.0354,0
287339,0.0995,-0.0080,-0.0078,0.9950,-0.0088,0.0073,0.0128,0
287506,0.0995,-0.0080,-0.0078,0.9950,-0.0048,-0.0138,0.0102,0
287673,0.0995,-0.0080,-0.0078,0.9950,0.0011,0.0047,0.0149,0
287839,0.0995,-0.0079,-0.0078,0.9950,0.0014,-0.0001,0.0204,0
288006,0.0995,-0.0079,-0.0078,0.9950,-0.0021,-0.0012,0.0149,0
288173,0.0995,-0.0079,-0.0078,0.9950,-0.0123,0.0084,0.0377,0
288340,0.0995,-0.0079,-0.0078,0.9950,-0.0162,0.0112,0.0154,0
288506,0.0995,-0.0080,-0.0078,0.9950,-0.0054,-0.0016,0.0078,0
288673,0.0995,-0.0079,-0.0078,0.9950,-0.0166,0.0013,0.0299,0
288840,0.0995,-0.0079,-0.0078,0.9950,0.0015,0.0054,0.0053,0
289006,0.0995,-0.0079,-0.0078,0.9950,-0.0201,-0.0056,0.0166,0
289173,0.0995,-0.0079,-0.0078,0.9950,0.0018,0.0002,0.0082,0
289340,0.0995,-0.0079,-0.0077,0.9950,-0.0084,0.0177,0.0217,0
289506,0.0995,-0.0080,-0.0078,0.9950,-0.0106,-0.0004,0.0093,0
289673,0.0995,-0.0080,-0.0078,0.9950,-0.0001,0.0003,0.0351,0
289840,0.0995,-0.0079,-0.0078,0.9950,-0.0055,-0.0036,-0.0017,0
290006,0.0995,-0.0080,-0.0077,0.9950,0.0012,-0.0064,0.0089,0
290173,0.0995,-0.0080,-0.0077,0.9950,0.0069,-0.0128,0.0212,0
290340,0.0995,-0.0080,-0.0077,0.9950,-0.0077,-0.0014,-0.0002,0
290506,0.0995,-0.0080,-0.0077,0.9950,-0.0067,-0.0023,0.0378,0
290673,0.0995,-0.0080,-0.0077,0.9950,-0.0118,0.0030,-0.0063,0
290840,0.0995,-0.0080,-0.0077,0.9950,-0.0063,-0.0044,-0.0060,0
291006,0.0995,-0.0080,-0.0077,0.9950,-0.0071,0.0067,0.0205,0
291173,0.0995,-0.0080,-0.0077,0.9950,-0.0076,-0.0030,0.0065,0
291340,0.0995,-0.0080,-0.0077,0.9950,-0.0011,0.0059,0.0123,0
291506,0.0995,-0.0080,-0.0077,0.9950,-0.0008,0.0143,0.0074,0
291673,0.0995,-0.0080,-0.0077,0.9950,0.0008,0.0184,0.0243,0
291840,0.0995,-0.0080,-0.0077,0.9950,-0.0069,-0.0004,0.0311,0
292006,0.0995,-0.0080,-0.0078,0.9950,-0.0010,-0.0073,-0.0020,0
292173,0.0995,-0.0080,-0.0077,0.9950,0.0064,-0.0012,0.0155,0
292340,0.0995,-0.0080,-0.0077,0.9950,-0.0048,-0.0052,0.0080,0
292506,0.0995,-0.0080,-0.0077,0.9950,-0.0028,-0.0042,0.0251,0
292673,0.0995,-0.0080,-0.0077,0.9950,0.0006,0.0035,0.0296,0
292840,0.0995,-0.0080,-0.0077,0.9950,-0.0064,0.0015,0.0139,0
293006,0.0995,-0.0080,-0.0077,0.9950,-0.0070,-0.0056,0.0116,0
293173,0.0995,-0.0080,-0.0077,0.9950,-0.0100,0.0040,0.0386,0
293340,0.0995,-0.0080,-0.0077,0.9950,0.0030,0.0042,0.0171,0
293506,0.0995,-0.0080,-0.0077,0.9950,-0.0086,-0.0143,0.0133,0
293673,0.0995,-0.0080,-0.0077,0.9950,-0.0145,0.0002,0.0162,0
293840,0.0995,-0.0080,-0.0077,0.9950,-0.0068,-0.0152,0.0311,0
294006,0.0995,-0.0080,-0.0077,0.9950,-0.0029,-0.0141,0.0079,0
294173,0.0995,-0.0080,-0.0077,0.9950,0.0130,0.0053,0.0200,0
294340,0.0995,-0.0080,-0.0077,0.9950,-0.0007,-0.0033,0.0089,0
294506,0.0995,-0.0080,-0.0077,0.9950,-0.0012,-0.0175,0.0247,0
294673,0.0995,-0.0080,-0.0077,0.9950,0.0023,-0.0010,0.0039,0
294840,0.0995,-0.0080,-0.0077,0.9950,-0.0235,0.0036,0.0029,0
295006,0.0995,-0.0080,-0.0077,0.9950,0.0003,-0.0013,0.0147,0
295173,0.0995,-0.0080,-0.0077,0.9950,-0.0057,0.0122,0.0021,0
295340,0.0995,-0.0080,-0.0077,0.9950,-0.0085,0.0036,0.0330,0
295506,0.0995,-0.0080,-0.0077,0.9950,-0.0136,-0.0139,0.0290,0
295673,0.0995,-0.0080,-0.0077,0.9950,-0.0004,-0.0203,0.0120,0
295840,0.0995,-0.0080,-0.0077,0.9950,-0.0046,0.0039,0.0273,0
296006,0.0995,-0.0079,-0.0077,0.9950,0.0068,0.0103,0.0111,0
296173,0.0995,-0.0079,-0.0077,0.9950,0.0108,0.0197,0.0274,0
296340,0.0995,-0.0079,-0.0077,0.9950,0.0085,0.0044,0.0480,0
296506,0.0995,-0.0079,-0.0077,0.9950,0.0103,-0.0031,-0.0186,0
296673,0.0995,-0.0079,-0.0077,0.9950,-0.0063,0.0095,0.0298,0
296840,0.0995,-0.0079,-0.0077,0.9950,-0.0004,-0.0148,-0.0030,0
297006,0.0995,-0.0079,-0.0077,0.9950,-0.0163,0.0002,0.0226,0
297173,0.0995,-0.0079,-0.0077,0.9950,-0.0057,-0.0029,0.0341,0
297340,0.0995,-0.0079,-0.0077,0.9950,0.0044,-0.0086,0.0149,0
297506,0.0995,-0.0079,-0.0077,0.9950,0.0024,0.0060,0.0181,0
297673,0.0995,-0.0079,-0.0077,0.9950,-0.0002,0.0065,0.0196,0
297840,0.0995,-0.0079,-0.0077,0.9950,0.0025,0.0078,0.0002,0
298006,0.0994,-0.0079,-0.0077,0.9950,0.0017,-0.0012,0.0129,0
298173,0.0994,-0.0079,-0.0077,0.9950,-0.0020,-0.0046,0.0061,0
298340,0.0994,-0.0079,-0.0077,0.9950,-0.0066,0.0077,0.0150,0
298506,0.0994,-0.0079,-0.0077,0.9950,-0.0006,0.0091,0.0204,0
298673,0.0994,-0.0079,-0.0077,0.9950,0.0115,-0.0084,0.0172,0
298840,0.0994,-0.0079,-0.0077,0.9950,-0.0067,-0.0104,0.0453,0
299006,0.0994,-0.0079,-0.0077,0.9950,0.0003,-0.0085,0.0204,0
299173,0.0994,-0.0079,-0.0077,0.9950,0.0049,0.0059,0.0342,0
299340,0.0994,-0.0079,-0.0077,0.9950,0.0072,0.0017,0.0196,0
299506,0.0994,-0.0079,-0.0077,0.9950,-0.0120,-0.0019,0.0047,0
299673,0.0994,-0.0079,-0.0077,0.9950,-0.0100,-0.0005,0.0208,0
299840,0.0994,-0.0079,-0.0077,0.9950,0.0058,0.0011,0.0136,0
300006,0.0994,-0.0079,-0.0077,0.9950,-0.0020,-0.0084,-0.0022,0
300173,0.0994,-0.0079,-0.0077,0.9950,-0.0130,-0.0126,0.0135,0
300340,0.0994,-0.0079,-0.0077,0.9950,-0.0014,-0.0063,0.0040,0
300506,0.0994,-0.0079,-0.0077,0.9950,-0.0026,-0.0053,0.0198,0
300673,0.0994,-0.0079,-0.0077,0.9950,-0.0078,-0.0068,0.0066,0
300840,0.0994,-0.0079,-0.0077,0.9950,-0.0053,-0.0043,0.0139,0
301006,0.0994,-0.0079,-0.0077,0.9950,-0.0060,-0.0109,0.0148,0
301173,0.0994,-0.0079,-0.0077,0.9950,-0.0003,-0.0055,-0.0024,0
301340,0.0994,-0.0079,-0.0077,0.9950,-0.0009,0.0001,0.0065,0
301506,0.0994,-0.0079,-0.0077,0.9950,0.0016,0.0120,-0.0016,0
301673,0.0994,-0.0079,-0.0077,0.9950,-0.0015,0.0097,0.0354,0
301840,0.0994,-0.0079,-0.0077,0.9950,-0.0095,0.0139,0.0122,0
302006,0.0994,-0.0079,-0.0077,0.9950,-0.0168,-0.0075,0.0055,0
302173,0.0994,-0.0079,-0.0077,0.9950,-0.0121,-0.0005,0.0259,0
302340,0.0994,-0.0079,-0.0077,0.9950,-0.0018,-0.0125,0.0055,0
302506,0.0993,-0.0079,-0.0077,0.9950,-0.0003,-0.0066,0.0195,0
302673,0.0993,-0.0079,-0.0077,0.9950,-0.0037,0.0038,0.0114,0
302840,0.0994,-0.0079,-0.0077,0.9950,-0.0143,0.0138,0.0020,0
303006,0.0993,-0.0079,-0.0077,0.9950,-0.0117,0.0007,0.0072,0
303173,0.0993,-0.0079,-0.0077,0.9950,0.0000,0.0010,0.0227,0
303340,0.0993,-0.0079,-0.0077,0.9950,-0.0111,-0.0022,0.0245,0
303506,0.0993,-0.0079,-0.0077,0.9950,-0.0038,0.0021,0.0071,0
303673,0.0993,-0.0079,-0.0077,0.9950,-0.0201,-0.0044,0.0284,0
303840,0.0993,-0.0079,-0.0077,0.9950,-0.0031,0.0017,0.0055,0
304006,0.0993,-0.0079,-0.0077,0.9950,0.0147,0.0086,0.0131,0
304173,0.0993,-0.0079,-0.0077,0.9950,-0.0019,-0.0024,0.0407,0
304340,0.0993,-0.0079,-0.0077,0.9950,0.0034,-0.0055,0.0049,0
304506,0.0993,-0.0079,-0.0077,0.9950,0.0007,-0.0011,0.0122,0
304673,0.0993,-0.0079,-0.0077,0.9950,-0.0028,-0.0082,0.0220,0
304840,0.0992,-0.0079,-0.0077,0.9950,-0.0090,0.0042,0.0160,0
305007,0.0992,-0.0079,-0.0077,0.9950,0.0012,0.0174,0.0026,0
305173,0.0992,-0.0079,-0.0077,0.9950,-0.0059,0.0082,0.0132,0
305340,0.0992,-0.0079,-0.0077,0.9950,0.0071,0.0065,0.0126,0
305507,0.0992,-0.0079,-0.0077,0.9950,-0.0145,-0.0036,0.0172,0
305673,0.0992,-0.0079,-0.0077,0.9950,-0.0013,-0.0029,0.0048,0
305840,0.0992,-0.0079,-0.0077,0.9950,0.0001,-0.0046,0.0155,0
