DeviceTag: 3,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2025-07-23 20:35:06.348,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
275678,0.2651,-0.0028,-0.0196,0.9640,-0.0001,-0.2312,0.0545,0
275845,0.2651,-0.0028,-0.0196,0.9640,0.0021,-0.2428,0.0703,0
276012,0.2649,-0.0028,-0.0197,0.9641,-0.0101,-0.2455,0.0953,0
276178,0.2648,-0.0028,-0.0198,0.9641,-0.0050,-0.2469,0.0793,0
276345,0.2647,-0.0028,-0.0198,0.9641,-0.0058,-0.2451,0.0702,0
276512,0.2646,-0.0027,-0.0199,0.9642,-0.0107,-0.2432,0.0880,0
276678,0.2645,-0.0027,-0.0200,0.9642,-0.0131,-0.2374,0.0754,0
276845,0.2645,-0.0027,-0.0201,0.9642,-0.0058,-0.2459,0.0853,0
277012,0.2644,-0.0027,-0.0201,0.9642,-0.0162,-0.2544,0.0681,0
277178,0.2644,-0.0027,-0.0202,0.9642,0.0060,-0.2411,0.0721,0
