DeviceTag: 2,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2025-07-23 20:35:06.172,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
280898,0.2668,-0.0126,-0.0074,0.9636,0.0174,0.0235,1.1030,0
281065,0.2668,-0.0126,-0.0074,0.9636,0.0129,0.0156,1.0927,0
281231,0.2669,-0.0126,-0.0074,0.9636,0.0074,0.0180,1.0805,0
281398,0.2669,-0.0126,-0.0074,0.9636,0.0120,0.0284,1.0733,0
281565,0.2669,-0.0126,-0.0074,0.9636,0.0194,0.0203,1.0881,0
281731,0.2670,-0.0126,-0.0074,0.9636,0.0009,0.0218,1.0992,0
281898,0.2670,-0.0126,-0.0074,0.9636,0.0192,0.0156,1.0831,0
282065,0.2670,-0.0126,-0.0074,0.9636,0.0239,0.0050,1.1059,0
282231,0.2670,-0.0126,-0.0074,0.9636,0.0221,0.0030,1.1033,0
282398,0.2670,-0.0126,-0.0074,0.9636,0.0133,0.0109,1.1005,0
282565,0.2671,-0.0126,-0.0074,0.9636,0.0238,0.0244,1.0856,0
282731,0.2671,-0.0126,-0.0074,0.9636,0.0080,0.0129,1.1015,0
282898,0.2671,-0.0126,-0.0074,0.9635,0.0281,0.0254,1.0941,0
283065,0.2672,-0.0126,-0.0074,0.9635,0.0182,0.0255,1.1030,0
283231,0.2672,-0.0126,-0.0074,0.9635,-0.0080,0.0161,1.0755,0
283398,0.2672,-0.0126,-0.0074,0.9635,0.0083,0.0228,1.1108,0
283565,0.2672,-0.0126,-0.0074,0.9635,0.0129,0.0116,1.0675,0
283731,0.2673,-0.0126,-0.0074,0.9635,0.0153,0.0159,1.1254,0
283898,0.2673,-0.0126,-0.0074,0.9635,0.0074,0.0220,1.1078,0
284065,0.2673,-0.0126,-0.0074,0.9635,0.0138,0.0091,1.0814,0
284231,0.2673,-0.0126,-0.0074,0.9635,0.0144,0.0187,1.0974,0
284398,0.2673,-0.0126,-0.0074,0.9635,0.0130,0.0103,1.1008,0
284565,0.2674,-0.0126,-0.0074,0.9635,0.0116,0.0301,1.0808,0
284731,0.2674,-0.0126,-0.0074,0.9635,0.0240,0.0171,1.0878,0
284898,0.2674,-0.0126,-0.0074,0.9635,0.0210,0.0075,1.0925,0
285065,0.2674,-0.0126,-0.0074,0.9635,0.0183,0.0051,1.0926,0
285232,0.2674,-0.0126,-0.0074,0.9635,0.0210,0.0329,1.0896,0
285398,0.2675,-0.0126,-0.0074,0.9635,0.0196,0.0326,1.0995,0
285565,0.2675,-0.0126,-0.0074,0.9635,0.0230,0.0168,1.1038,0
285732,0.2675,-0.0126,-0.0074,0.9634,0.0189,0.0097,1.1030,0
285898,0.2675,-0.0126,-0.0074,0.9634,-0.0075,0.0166,1.0946,0
286065,0.2675,-0.0126,-0.0074,0.9634,-0.0007,0.0115,1.0887,0
286232,0.2676,-0.0126,-0.0074,0.9634,0.0072,0.0064,1.1003,0
286398,0.2676,-0.0126,-0.0073,0.9634,0.0147,0.0064,1.0895,0
286565,0.2676,-0.0126,-0.0073,0.9634,0.0237,0.0198,1.0864,0
286732,0.2676,-0.0126,-0.0074,0.9634,0.0239,0.0192,1.1043,0
286898,0.2677,-0.0126,-0.0074,0.9634,0.0137,0.0225,1.0758,0
287065,0.2677,-0.0126,-0.0074,0.9634,0.0216,-0.0018,1.1104,0
287232,0.2677,-0.0126,-0.0074,0.9634,0.0154,0.0211,1.0911,0
287398,0.2677,-0.0126,-0.0074,0.9634,0.0213,0.0178,1.1042,0
287565,0.2677,-0.0126,-0.0074,0.9634,0.0198,0.0145,1.1244,0
287732,0.2677,-0.0126,-0.0074,0.9634,0.0339,0.0185,1.0948,0
287898,0.2677,-0.0126,-0.0074,0.9634,0.0126,0.0087,1.0959,0
288065,0.2678,-0.0126,-0.0074,0.9634,0.0314,0.0079,1.0892,0
288232,0.2678,-0.0125,-0.0074,0.9634,0.0246,0.0086,1.1056,0
288398,0.2678,-0.0125,-0.0074,0.9634,0.0081,0.0125,1.1059,0
288565,0.2678,-0.0125,-0.0074,0.9634,0.0203,0.0178,1.0876,0
288732,0.2678,-0.0125,-0.0074,0.9634,0.0054,0.0055,1.1085,0
288898,0.2678,-0.0125,-0.0074,0.9634,0.0137,0.0304,1.0903,0
289065,0.2679,-0.0125,-0.0074,0.9634,0.0075,0.0140,1.0966,0
289232,0.2679,-0.0126,-0.0074,0.9633,0.0147,0.0102,1.1063,0
289398,0.2679,-0.0125,-0.0074,0.9633,0.0140,0.0209,1.0966,0
289565,0.2679,-0.0126,-0.0074,0.9633,0.0069,0.0015,1.1142,0
289732,0.2679,-0.0126,-0.0074,0.9633,0.0061,0.0086,1.1184,0
289898,0.2679,-0.0126,-0.0074,0.9633,0.0118,0.0216,1.0959,0
290065,0.2679,-0.0126,-0.0074,0.9633,0.0205,0.0182,1.1072,0
290232,0.2679,-0.0125,-0.0074,0.9633,0.0126,-0.0025,1.1033,0
290398,0.2679,-0.0125,-0.0074,0.9633,-0.0057,-0.0005,1.0998,0
290565,0.2680,-0.0125,-0.0074,0.9633,0.0189,0.0036,1.0808,0
290732,0.2680,-0.0125,-0.0074,0.9633,0.0158,0.0239,1.0958,0
290898,0.2680,-0.0125,-0.0074,0.9633,0.0142,0.0278,1.0757,0
291065,0.2680,-0.0125,-0.0074,0.9633,0.0023,0.0195,1.1008,0
291232,0.2680,-0.0125,-0.0074,0.9633,0.0030,0.0053,1.0990,0
291398,0.2680,-0.0125,-0.0074,0.9633,0.0094,0.0097,1.0796,0
291565,0.2681,-0.0125,-0.0074,0.9633,0.0157,0.0201,1.0870,0
