DeviceTag: 1(up),FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2025-07-23 20:35:06.704,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
287493,0.4521,-0.0119,-0.0013,0.8919,-0.0170,0.0027,5.8536,0
287660,0.4521,-0.0120,-0.0013,0.8919,-0.0255,0.0160,5.8622,0
287826,0.4521,-0.0119,-0.0013,0.8919,-0.0195,0.0095,5.8580,0
287993,0.4521,-0.0119,-0.0013,0.8919,-0.0132,0.0163,5.8069,0
288160,0.4520,-0.0119,-0.0013,0.8919,-0.0216,0.0113,5.8391,0
288326,0.4520,-0.0119,-0.0014,0.8919,-0.0049,0.0114,5.8326,0
288493,0.4520,-0.0119,-0.0013,0.8919,-0.0189,0.0157,5.8411,0
288660,0.4520,-0.0119,-0.0014,0.8919,-0.0284,0.0101,5.8701,0
288826,0.4520,-0.0119,-0.0014,0.8920,-0.0288,0.0221,5.8459,0
288993,0.4519,-0.0119,-0.0013,0.8920,-0.0345,0.0121,5.8690,0
289160,0.4519,-0.0119,-0.0013,0.8920,-0.0230,0.0077,5.8495,0
289326,0.4519,-0.0119,-0.0013,0.8920,-0.0249,0.0165,5.8344,0
289493,0.4519,-0.0119,-0.0013,0.8920,-0.0234,0.0140,5.8290,0
289660,0.4518,-0.0119,-0.0013,0.8920,-0.0282,0.0058,5.8446,0
289826,0.4518,-0.0119,-0.0014,0.8920,-0.0132,0.0177,5.8205,0
289993,0.4518,-0.0119,-0.0014,0.8920,-0.0155,0.0212,5.8162,0
290160,0.4518,-0.0119,-0.0013,0.8921,-0.0278,0.0256,5.8344,0
290326,0.4517,-0.0119,-0.0013,0.8921,-0.0460,-0.0016,5.8149,0
290493,0.4517,-0.0119,-0.0013,0.8921,-0.0429,-0.0052,5.8476,0
290660,0.4517,-0.0119,-0.0013,0.8921,-0.0228,0.0027,5.8289,0
290826,0.4517,-0.0119,-0.0013,0.8921,-0.0081,0.0141,5.8437,0
290993,0.4517,-0.0119,-0.0013,0.8921,-0.0248,0.0212,5.8440,0
291160,0.4516,-0.0119,-0.0013,0.8921,-0.0234,0.0143,5.8493,0
291326,0.4516,-0.0119,-0.0013,0.8921,-0.0303,0.0200,5.8229,0
291493,0.4516,-0.0119,-0.0013,0.8921,-0.0286,0.0095,5.8626,0
291660,0.4516,-0.0119,-0.0013,0.8922,-0.0339,0.0120,5.8553,0
291826,0.4515,-0.0119,-0.0013,0.8922,-0.0388,0.0071,5.8530,0
291993,0.4515,-0.0119,-0.0013,0.8922,-0.0124,0.0091,5.8481,0
292160,0.4515,-0.0119,-0.0013,0.8922,-0.0168,0.0232,5.8315,0
292327,0.4515,-0.0119,-0.0013,0.8922,-0.0201,0.0142,5.8349,0
292493,0.4515,-0.0119,-0.0013,0.8922,-0.0171,0.0181,5.8173,0
292660,0.4514,-0.0119,-0.0014,0.8922,-0.0318,0.0071,5.8331,0
292827,0.4514,-0.0119,-0.0014,0.8922,-0.0288,0.0241,5.8476,0
292993,0.4514,-0.0119,-0.0014,0.8922,-0.0231,0.0152,5.8237,0
293160,0.4514,-0.0119,-0.0013,0.8922,-0.0175,0.0170,5.8406,0
293327,0.4514,-0.0119,-0.0013,0.8923,-0.0138,0.0208,5.8359,0
293493,0.4514,-0.0119,-0.0013,0.8923,-0.0164,0.0047,5.8474,0
293660,0.4513,-0.0119,-0.0013,0.8923,-0.0232,0.0163,5.8260,0
293827,0.4513,-0.0119,-0.0013,0.8923,-0.0332,0.0205,5.8436,0
